('!',)	('!', 'SENT')=2,
('&amp;bquo;',)	('&amp;bquo;', 'NN')=33,('&amp;bquo;', 'JJ')=30,('&amp;bquo;', 'NP')=3,
('&amp;equo;',)	('&amp;equo;', 'NN')=62,('&amp;equo;', 'JJ')=2,
('&amp;hellip;',)	('&amp;hellip;', 'NN')=2,('&amp;hellip;', 'JJ')=1,
('&amp;mdash;',)	('&amp;mdash;', 'NN')=17,('&amp;mdash;', 'JJ')=4,
('&apos;',)	('&apos;', 'JJ')=1,
('&apos;m',)	('&apos;m', 'NN')=1,
('&apos;re',)	('&apos;re', 'RB')=3,('&apos;re', 'VV')=1,
('&apos;s',)	('&apos;s', 'NNS')=40,('&apos;s', 'NP')=18,('&apos;s', 'NN')=13,
('&apos;ve',)	('&apos;ve', 'NNS')=1,
('(',)	('(', '(')=4,
(')',)	(')', ')')=4,
(',',)	(',', ',')=593,
('.',)	('.', 'SENT')=335,
('1',)	('1', 'CD')=1,
('1961',)	('@card@', 'CD')=1,
('1970',)	('@card@', 'CD')=1,
('1970s',)	('1970s', 'NNS')=1,
('1972',)	('@card@', 'CD')=1,
('1975',)	('@card@', 'CD')=2,
('1979',)	('@card@', 'CD')=1,
('4',)	('4', 'CD')=1,
(':',)	(':', ':')=48,
(';',)	(';', ':')=17,
('?',)	('?', 'SENT')=7,
('A',)	('a', 'DT')=17,('A', 'NP')=1,
('AESTHETIC',)	('AESTHETIC', 'NP')=1,
('Abdul',)	('Abdul', 'NP')=1,
('According to',)	('According_to', 'RB')=1,
('Accurate',)	('accurate', 'JJ')=1,
('Aeneas',)	('Aeneas', 'NP')=3,
('Aeneid',)	('Aeneid', 'NN')=1,
('Africa',)	('Africa', 'NP')=8,
('African',)	('African', 'JJ')=7,
('Africans',)	('African', 'NNS')=1,
('After',)	('after', 'IN')=1,
('Again',)	('again', 'RB')=1,
('Agent',)	('Agent', 'NP')=1,
('Ahmed',)	('Ahmed', 'NP')=13,
('All',)	('All', 'PDT')=2,
('American',)	('American', 'JJ')=4,('American', 'NP')=3,
('Amin',)	('Amin', 'NP')=1,
('An',)	('an', 'DT')=3,
('And',)	('and', 'CC')=6,
('Andy',)	('Andy', 'NP')=1,
('Are',)	('be', 'VBP')=1,
('Area',)	('area', 'NN')=1,
('Argentina',)	('Argentina', 'NP')=1,
('Art',)	('Art', 'NP')=2,
('As',)	('as', 'IN')=1,
('Asian',)	('Asian', 'JJ')=2,('Asian', 'NP')=1,
('Asians',)	('Asians', 'NPS')=2,
('Assyrian',)	('Assyrian', 'JJ')=1,
('At',)	('at', 'IN')=7,
('At first',)	('At_first', 'NP')=1,
('BACKWATERS',)	('backwater', 'NNS')=1,
('Baldwin',)	('Baldwin', 'NP')=1,
('Baudelaire',)	('Baudelaire', 'NP')=1,
('Be',)	('be', 'VB')=1,
('Belgian',)	('Belgian', 'JJ')=1,
('Bend',)	('Bend', 'NP')=4,
('Benson',)	('Benson', 'NP')=4,
('Biswaf',)	('Biswaf', 'NP')=1,
('Biswas',)	('Biswas', 'NP')=1,
('Black',)	('Black', 'NP')=2,
('Blithedale',)	('Blithedale', 'NP')=1,
('Blood',)	('blood', 'NN')=1,
('Blue',)	('Blue', 'NP')=1,
('Boston',)	('Boston', 'NP')=1,
('Both',)	('both', 'DT')=1,
('Britain',)	('Britain', 'NP')=2,
('British',)	('British', 'JJ')=1,
('Bront&amp;euml;',)	('Bront&amp;euml;', 'NP')=1,
('Bryant',)	('Bryant', 'NP')=2,
('But',)	('but', 'CC')=15,
('By',)	('by', 'IN')=2,
('C&amp;eacute;zanne',)	('C&amp;eacute;zanne', 'NP')=1,
('Californian',)	('Californian', 'NP')=1,
('Care',)	('Care', 'NP')=1,
('Caribbean',)	('Caribbean', 'NP')=5,('Caribbean', 'JJ')=3,
('Champion',)	('Champion', 'NP')=1,
('China',)	('China', 'NP')=2,
('Chinee',)	('Chinee', 'NP')=1,
('Chinese',)	('Chinese', 'JJ')=4,('Chinese', 'NNS')=1,
('Classical',)	('classical', 'JJ')=1,
('Compared',)	('compare', 'VVN')=1,
('Comparisons',)	('comparison', 'NNS')=1,
('Congo',)	('Congo', 'NP')=1,
('Conrad',)	('Conrad', 'NP')=6,
('Copying',)	('copying', 'NN')=2,
('Costaguana',)	('Costaguana', 'NP')=1,
